iter	Logloss
0	0.6741787697
1	0.6593418984
2	0.6445822123
3	0.6305619581
4	0.6180892268
5	0.6068430008
6	0.59209968
7	0.5811712771
8	0.5683618961
9	0.5601489224
10	0.5512007666
11	0.5390379779
12	0.5278965436
13	0.5183897313
14	0.5094923073
15	0.5020128024
16	0.492130726
17	0.484729904
18	0.4789609401
19	0.4724937029
20	0.4666040901
21	0.4592230825
22	0.4517160341
23	0.4474772453
24	0.4409807397
25	0.4376436121
26	0.4320555824
27	0.4278210958
28	0.4221813502
29	0.4186249447
30	0.4150708156
31	0.4085825777
32	0.4039616816
33	0.4010888161
34	0.3983050534
35	0.3956861076
36	0.3924173189
37	0.3889829852
38	0.3867238299
39	0.3823003144
40	0.3790367934
41	0.3766432073
42	0.3717503898
43	0.3692393449
44	0.3668182381
45	0.3635047211
46	0.3609831698
47	0.3586180687
48	0.3565299302
49	0.3529512772
50	0.3503219513
51	0.347387638
52	0.3454402415
53	0.3419314424
54	0.3406428016
55	0.3379397937
56	0.3367316358
57	0.3348973921
58	0.3338728555
59	0.3320938003
60	0.329171227
61	0.3265291858
62	0.3247962284
63	0.3237320351
64	0.3215307039
65	0.319479879
66	0.317669628
67	0.3153547579
68	0.3146429497
69	0.3120870803
70	0.3102156359
71	0.3085973708
72	0.3063832299
73	0.3047192746
74	0.3037890685
75	0.3026968899
76	0.300072881
77	0.2978960634
78	0.2961475195
79	0.2945634454
80	0.2931564254
81	0.2905350317
82	0.2889188305
83	0.2877241333
84	0.2870875017
85	0.2849845672
86	0.2841719244
87	0.2831729279
88	0.2813428668
89	0.280171139
90	0.2792009791
91	0.2785340456
92	0.2770764857
93	0.2762818805
94	0.2750748946
95	0.2737727555
96	0.271939982
97	0.2706741835
98	0.2697358319
99	0.2679522434
100	0.2663169055
101	0.2650337749
102	0.2643414467
103	0.2629357238
104	0.2610603717
105	0.2596873956
106	0.2589293407
107	0.2581334635
108	0.2569556437
109	0.2564730854
110	0.2555175742
111	0.2548103036
112	0.2536528422
113	0.2530636833
114	0.2523640862
115	0.2515885267
116	0.2505677178
117	0.2500646042
118	0.249536102
119	0.2483762111
120	0.2477716231
121	0.2470061867
122	0.2460229875
123	0.2451639308
124	0.2440825105
125	0.243365942
126	0.2420927898
127	0.2410698238
128	0.2403289566
129	0.2397637059
130	0.2388388082
131	0.2377548022
132	0.2370773639
133	0.2366777545
134	0.235687608
135	0.2352239175
136	0.2346462886
137	0.2336705725
138	0.2327174198
139	0.2319704106
140	0.2309692738
141	0.2301609406
142	0.2296645829
143	0.2289552147
144	0.2280976845
145	0.2275444371
146	0.2271201421
147	0.2262736464
148	0.2258638624
149	0.2252320976
150	0.2246670348
151	0.2239509308
152	0.2235031679
153	0.2228678121
154	0.2222095598
155	0.2216089189
156	0.2212478857
157	0.2208450795
158	0.2202567867
159	0.2196137321
160	0.2189983102
161	0.2184485527
162	0.2177257272
163	0.2171863872
164	0.2164048742
165	0.215928683
166	0.2154416697
167	0.2148363633
168	0.2143060066
169	0.2137795458
170	0.2132247932
171	0.2125230215
172	0.2120897643
173	0.211462211
174	0.2108933498
175	0.2103811884
176	0.209831145
177	0.2095222096
178	0.2089619609
179	0.2083590294
180	0.2080616837
181	0.2076476697
182	0.2070274723
183	0.2063410313
184	0.2060299444
185	0.2058433165
186	0.2051576676
187	0.2047920643
188	0.2043416421
189	0.2037381512
190	0.2033540501
191	0.2029823176
192	0.2026400431
193	0.2023191717
194	0.2017480823
195	0.2011848212
196	0.2007815057
197	0.2002292208
198	0.199918823
199	0.1994309649
200	0.1990776797
201	0.1985801673
202	0.1981187768
203	0.1977859223
204	0.1975500705
205	0.1972488953
206	0.1967707461
207	0.1963394569
208	0.1960426534
209	0.1956780776
210	0.1952570292
211	0.1949715539
212	0.1946204888
213	0.1941002073
214	0.1937138955
215	0.1934502482
216	0.1929677953
217	0.1925243893
218	0.1922304492
219	0.1916585213
220	0.1913897703
221	0.190801078
222	0.1904634444
223	0.1898804072
224	0.1894286795
225	0.1889813788
226	0.1885794976
227	0.1882681999
228	0.1878888576
229	0.1876168771
230	0.1872084384
231	0.1868957947
232	0.1864363866
233	0.1861070146
234	0.1857396689
235	0.1855540022
236	0.1851888691
237	0.184811872
238	0.1844980564
239	0.1841360487
240	0.1838030505
241	0.1832774027
242	0.1829765679
243	0.1823593976
244	0.1820169767
245	0.1815454066
246	0.1813371801
247	0.1809378853
248	0.180576553
249	0.1803366469
250	0.1799315388
251	0.1796265708
252	0.179217492
253	0.17876053
254	0.1785476299
255	0.1782515497
256	0.1779071486
257	0.1775976087
258	0.1773970482
259	0.1770582042
260	0.1767983611
261	0.1766294264
262	0.1764012724
263	0.1760341303
264	0.1757333317
265	0.1754042497
266	0.1749222531
267	0.1747366466
268	0.1744598608
269	0.1741462917
270	0.1739305701
271	0.1736816354
272	0.1734111039
273	0.1732637149
274	0.1729797998
275	0.1726552988
276	0.1722102176
277	0.1719381005
278	0.1716499377
279	0.1712252425
280	0.1709773206
281	0.1706233205
282	0.1702963449
283	0.1698787224
284	0.1696734219
285	0.1694908245
286	0.1691207843
287	0.1688805527
288	0.1685459989
289	0.1683964597
290	0.1681556753
291	0.1679302535
292	0.1675430927
293	0.1672413072
294	0.1668297542
295	0.1664472826
296	0.1659479573
297	0.1657561425
298	0.1655063862
299	0.1651096216
300	0.1647435734
301	0.1645163768
302	0.1643403127
303	0.1639897352
304	0.163663838
305	0.163519179
306	0.1633216231
307	0.1629217262
308	0.1626434332
309	0.1623054591
310	0.1619893228
311	0.1617904814
312	0.1615859868
313	0.1612623139
314	0.1611235417
315	0.1607160806
316	0.1602868105
317	0.1599976512
318	0.1597378491
319	0.159482839
320	0.1593063882
321	0.1590006584
322	0.1587192684
323	0.1584379398
324	0.1579463754
325	0.1576665516
326	0.1574053719
327	0.1572049138
328	0.1570776286
329	0.1567668078
330	0.1564566638
331	0.1562078911
332	0.1558395382
333	0.1556525964
334	0.1554353409
335	0.1552140489
336	0.1550414077
337	0.1547019573
338	0.1545446677
339	0.1543950998
340	0.1541228839
341	0.1538201873
342	0.1536108947
343	0.1534484226
344	0.1532369189
345	0.1528692738
346	0.1525248381
347	0.1522150316
348	0.1519287083
349	0.1516399888
350	0.1514213101
351	0.1511911964
352	0.1509507883
353	0.1507802589
354	0.1503457201
355	0.1501020507
356	0.1498560722
357	0.149610871
358	0.1493852851
359	0.1489915318
360	0.1488465938
361	0.1485825469
362	0.1483832435
363	0.1482408966
364	0.1480604589
365	0.1478564147
366	0.1477106232
367	0.1475174759
368	0.1472437776
369	0.1469436381
370	0.1466912931
371	0.1465000844
372	0.1461934389
373	0.1459382155
374	0.1457550376
375	0.1455079296
376	0.1452668488
377	0.1449186305
378	0.1446879577
379	0.1444047635
380	0.1442729927
381	0.1440682858
382	0.1438213163
383	0.143624151
384	0.1434502072
385	0.1432713108
386	0.1430777413
387	0.1428914385
388	0.142542294
389	0.1424111937
390	0.1422849277
391	0.1420947696
392	0.1418965954
393	0.1416691473
394	0.1414502933
395	0.1412188635
396	0.1408925097
397	0.1406846472
398	0.1405213842
399	0.1403963535
400	0.1401688204
401	0.1399518024
402	0.1397187879
403	0.1395200192
404	0.1393356408
405	0.1391449163
406	0.1389366864
407	0.1388222211
408	0.1386248464
409	0.1384767399
410	0.1382446262
411	0.138122459
412	0.1378895005
413	0.1377907757
414	0.137559015
415	0.137338235
416	0.1372036132
417	0.1370425278
418	0.1368742901
419	0.1366188154
420	0.1364752261
421	0.1363146305
422	0.1360808633
423	0.1359843632
424	0.1357610145
425	0.1355981447
426	0.135342559
427	0.1351698825
428	0.1349781779
429	0.1347682456
430	0.1345741485
431	0.1343921808
432	0.1341031652
433	0.1339521723
434	0.1338150259
435	0.1335385447
436	0.1333411813
437	0.1330659902
438	0.132954601
439	0.1327442288
440	0.1326187364
441	0.1324989769
442	0.132383899
443	0.13213361
444	0.132016146
445	0.1317042002
446	0.13153305
447	0.1312535959
448	0.1310867369
449	0.1308959764
450	0.1306920613
451	0.1304256545
452	0.1302552178
453	0.1301137333
454	0.1298693656
455	0.1296816156
456	0.1295537248
457	0.129518403
458	0.1292666017
459	0.129140835
460	0.1289626316
461	0.1288381399
462	0.1287213088
463	0.128545301
464	0.1283248444
465	0.1281887931
466	0.1280188583
467	0.1278691412
468	0.127680607
469	0.1275730032
470	0.1273937939
471	0.1272040727
472	0.1270531444
473	0.1268308466
474	0.1265324095
475	0.126370058
476	0.1262772549
477	0.1260060795
478	0.125813128
479	0.1256650294
480	0.1255203298
481	0.1253659088
482	0.1251599893
483	0.1250636423
484	0.1250001506
485	0.1248096065
486	0.1246212982
487	0.124510581
488	0.1243439003
489	0.1241894317
490	0.1240012206
491	0.1239508574
492	0.1237830294
493	0.1236098352
494	0.1235012042
495	0.1232754658
496	0.1231094926
497	0.122879935
498	0.122704958
499	0.1225293883
500	0.1223657985
501	0.1221951394
502	0.1219336248
503	0.1216586683
504	0.1215938936
505	0.121491909
506	0.1213871496
507	0.1213029873
508	0.1211431133
509	0.120982116
510	0.1208124026
511	0.1206447827
512	0.1204906481
513	0.1203686717
514	0.1202299084
515	0.1200004361
516	0.1198506333
517	0.1197568762
518	0.1195311088
519	0.1193619804
520	0.1192676728
521	0.1191271706
522	0.1189632747
523	0.1188213908
524	0.1186237338
525	0.1184902323
526	0.1183176693
527	0.1181440435
528	0.1180409278
529	0.1178046504
530	0.1176707568
531	0.117494211
532	0.117347986
533	0.1172012579
534	0.1170200626
535	0.1168585393
536	0.1168019183
537	0.1166881472
538	0.1165390282
539	0.1164159729
540	0.1162188896
541	0.1160665255
542	0.1158788418
543	0.1157299225
544	0.1155611538
545	0.1154206744
546	0.1152864415
547	0.1151572138
548	0.1150219388
549	0.1148740709
550	0.1147572596
551	0.1146356294
552	0.1145102919
553	0.1143522132
554	0.1142399714
555	0.1141074384
556	0.1139940562
557	0.113842348
558	0.1137042633
559	0.1135698149
560	0.1134381469
561	0.11333833
562	0.1131945191
563	0.113115278
564	0.1129880654
565	0.1128832673
566	0.1126462943
567	0.1125468788
568	0.1123008471
569	0.1121269025
570	0.1118882697
571	0.1117689682
572	0.1115493263
573	0.1113490915
574	0.1111447201
575	0.1109695276
576	0.1108913916
577	0.1107748938
578	0.110632314
579	0.1105203315
580	0.1102562263
581	0.1101727322
582	0.1100348874
583	0.1099266455
584	0.1097203826
585	0.1096138239
586	0.1094447346
587	0.1093107361
588	0.1091436284
589	0.1090339062
590	0.108951064
591	0.1088691431
592	0.1087787618
593	0.1086679701
594	0.1085713194
595	0.1084365941
596	0.1083504251
597	0.1082221782
598	0.1080856761
599	0.1078475171
600	0.1076686884
601	0.1075842317
602	0.1073981772
603	0.1072581861
604	0.1070832789
605	0.1069245761
606	0.1068200858
607	0.1067425954
608	0.1065508211
609	0.1064543154
610	0.1063123541
611	0.1062145176
612	0.1061393682
613	0.1059931161
614	0.1059169082
615	0.105800424
616	0.1056537558
617	0.1055301861
618	0.1054624555
619	0.1053735079
620	0.1052069777
621	0.1051161248
622	0.105017027
623	0.1049074554
624	0.1047387884
625	0.1046499188
626	0.1044988062
627	0.1043996637
628	0.1042782503
629	0.1041404185
630	0.1039634227
631	0.1038836993
632	0.103831948
633	0.1037276553
634	0.1036412969
635	0.1034992888
636	0.1033669999
637	0.1032835459
638	0.1031250954
639	0.1029512262
640	0.1028541417
641	0.1026501083
642	0.1025729823
643	0.1024705
644	0.1022898687
645	0.1021977755
646	0.1021170115
647	0.1019838883
648	0.101904667
649	0.1017808728
650	0.1016113725
651	0.1015178989
652	0.1014635928
653	0.1014417101
654	0.101351442
655	0.1012283823
656	0.1011169369
657	0.1009024587
658	0.1007720521
659	0.100714876
660	0.1005706769
661	0.1005039194
662	0.1003421213
663	0.1002075923
664	0.1001171484
665	0.1000455975
666	0.09992020856
667	0.09986228043
668	0.09975120118
669	0.0996159499
670	0.09952226487
671	0.09935856551
672	0.09923897751
673	0.09910145455
674	0.09899506177
675	0.09887478673
676	0.09876174137
677	0.09869000615
678	0.09865902679
679	0.09853609174
680	0.09844868345
681	0.09832394249
682	0.09818208723
683	0.09805519155
684	0.09797027855
685	0.09791165494
686	0.09776500609
687	0.0976532698
688	0.09755725873
689	0.09740645662
690	0.09728891418
691	0.09714973062
692	0.09699688227
693	0.09685404549
694	0.09678140035
695	0.09668205479
696	0.09664611927
697	0.0965862964
698	0.09645527961
699	0.096368415
700	0.09627290788
701	0.09613650779
702	0.09603192326
703	0.09598429653
704	0.09579254794
705	0.09564272393
706	0.09554300743
707	0.09541624128
708	0.09529596728
709	0.09522044962
710	0.09506524469
711	0.09501148525
712	0.09491511566
