iter	Passed	Remaining
0	58	58085
1	61	30868
2	65	21728
3	69	17227
4	73	14559
5	76	12713
6	80	11395
7	83	10412
8	87	9657
9	91	9037
10	94	8533
11	98	8117
12	102	7780
13	106	7477
14	110	7224
15	113	6990
16	117	6789
17	121	6603
18	125	6464
19	129	6339
20	133	6237
21	138	6136
22	142	6044
23	146	5963
24	151	5895
25	155	5834
26	159	5765
27	164	5707
28	168	5641
29	173	5608
30	177	5550
31	182	5507
32	185	5444
33	189	5383
34	193	5328
35	197	5296
36	201	5249
37	205	5200
38	209	5152
39	213	5126
40	217	5088
41	221	5044
42	224	5003
43	229	4983
44	233	4962
45	238	4936
46	241	4905
47	246	4896
48	250	4863
49	254	4829
50	258	4801
51	262	4788
52	266	4758
53	270	4730
54	273	4704
55	278	4697
56	282	4678
57	286	4653
58	290	4630
59	294	4619
60	298	4594
61	302	4570
62	305	4546
63	310	4539
64	314	4519
65	317	4499
66	321	4478
67	326	4477
68	330	4460
69	334	4448
70	338	4431
71	343	4425
72	346	4406
73	350	4387
74	354	4369
75	358	4362
76	362	4344
77	366	4336
78	371	4330
79	376	4327
80	380	4314
81	384	4302
82	389	4298
83	393	4289
84	397	4279
85	401	4267
86	406	4268
87	410	4255
88	414	4242
89	418	4226
90	422	4223
91	426	4211
92	430	4197
93	434	4184
94	439	4182
95	442	4169
96	446	4156
97	450	4145
98	455	4142
99	458	4130
100	462	4117
101	466	4105
102	471	4105
103	475	4098
104	479	4087
105	483	4076
106	487	4070
107	491	4062
108	495	4052
109	500	4047
110	504	4039
111	508	4032
112	512	4024
113	517	4022
114	522	4020
115	527	4020
116	531	4014
117	536	4008
118	540	4000
119	544	3993
120	548	3984
121	552	3974
122	556	3964
123	559	3955
124	563	3947
125	567	3938
126	571	3928
127	575	3919
128	578	3908
129	582	3898
130	586	3888
131	589	3879
132	593	3869
133	597	3860
134	600	3850
135	604	3841
136	608	3832
137	611	3822
138	615	3812
139	619	3802
140	622	3793
141	626	3783
142	629	3774
143	633	3765
144	636	3755
145	640	3746
146	644	3738
147	647	3729
148	651	3723
149	655	3717
150	660	3714
151	665	3712
152	670	3713
153	676	3715
154	681	3716
155	686	3714
156	691	3714
157	697	3714
158	702	3714
159	707	3712
160	712	3711
161	717	3712
162	722	3711
163	729	3720
164	735	3720
165	740	3722
166	746	3723
167	750	3718
168	755	3714
169	759	3710
170	765	3709
171	769	3703
172	773	3698
173	778	3694
174	782	3690
175	787	3685
176	791	3681
177	795	3674
178	800	3671
179	806	3672
180	810	3667
181	814	3661
182	819	3657
183	824	3657
184	829	3656
185	834	3653
186	840	3653
187	844	3648
188	849	3644
189	853	3640
190	859	3640
191	864	3639
192	870	3638
193	880	3656
194	888	3666
195	895	3672
196	902	3677
197	906	3673
198	912	3672
199	916	3666
200	920	3660
201	924	3652
202	928	3643
203	931	3635
204	935	3626
205	938	3618
206	943	3613
207	947	3608
208	952	3603
209	956	3598
210	960	3591
211	964	3586
212	969	3582
213	974	3579
214	978	3572
215	982	3566
216	987	3561
217	991	3556
218	995	3548
219	998	3541
220	1002	3534
221	1006	3526
222	1010	3519
223	1015	3517
224	1021	3517
225	1026	3515
226	1032	3514
227	1036	3510
228	1041	3505
229	1045	3501
230	1050	3497
231	1054	3492
232	1059	3487
233	1064	3483
234	1068	3477
235	1072	3472
236	1077	3468
237	1083	3467
238	1087	3462
239	1091	3456
240	1095	3451
241	1100	3446
242	1104	3439
243	1107	3432
244	1111	3425
245	1115	3418
246	1118	3411
247	1122	3403
248	1126	3396
249	1130	3390
250	1133	3383
251	1137	3376
252	1141	3369
253	1144	3362
254	1148	3355
255	1152	3348
256	1156	3342
257	1159	3335
258	1163	3328
259	1167	3322
260	1170	3315
261	1174	3308
262	1178	3301
263	1181	3295
264	1185	3288
265	1189	3282
266	1193	3275
267	1196	3268
268	1200	3262
269	1204	3255
270	1207	3248
271	1211	3241
272	1214	3234
273	1218	3229
274	1223	3225
275	1227	3219
276	1230	3212
277	1234	3206
278	1238	3200
279	1242	3194
280	1245	3188
281	1249	3181
282	1253	3174
283	1257	3169
284	1260	3162
285	1264	3156
286	1267	3149
287	1271	3143
288	1275	3137
289	1279	3131
290	1282	3124
291	1286	3118
292	1289	3112
293	1293	3106
294	1296	3099
295	1300	3093
296	1304	3087
297	1308	3081
298	1311	3075
299	1315	3068
300	1318	3062
301	1322	3056
302	1326	3050
303	1330	3045
304	1333	3039
305	1337	3032
306	1340	3026
307	1344	3021
308	1348	3015
309	1352	3009
310	1355	3003
311	1359	2998
312	1363	2992
313	1366	2986
314	1370	2980
315	1374	2975
316	1378	2969
317	1382	2964
318	1385	2958
319	1389	2952
320	1393	2948
321	1397	2943
322	1401	2938
323	1405	2933
324	1409	2927
325	1413	2921
326	1416	2915
327	1420	2910
328	1424	2904
329	1427	2898
330	1431	2893
331	1435	2887
332	1439	2882
333	1444	2879
334	1448	2874
335	1453	2871
336	1458	2868
337	1462	2864
338	1467	2860
339	1471	2856
340	1475	2851
341	1479	2846
342	1484	2843
343	1488	2838
344	1492	2833
345	1496	2828
346	1500	2823
347	1503	2817
348	1507	2812
349	1512	2808
350	1515	2802
351	1519	2797
352	1523	2791
353	1527	2786
354	1531	2782
355	1535	2777
356	1539	2772
357	1542	2766
358	1546	2761
359	1550	2755
360	1553	2750
361	1557	2745
362	1561	2739
363	1564	2734
364	1568	2728
365	1572	2723
366	1575	2717
367	1579	2712
368	1583	2707
369	1586	2702
370	1592	2699
371	1596	2694
372	1599	2689
373	1604	2684
374	1608	2680
375	1612	2675
376	1616	2671
377	1620	2665
378	1623	2660
379	1627	2655
380	1631	2649
381	1634	2644
382	1638	2639
383	1641	2633
384	1645	2628
385	1649	2623
386	1652	2617
387	1656	2612
388	1659	2607
389	1663	2601
390	1667	2596
391	1670	2591
392	1674	2586
393	1678	2581
394	1681	2576
395	1685	2570
396	1689	2565
397	1693	2560
398	1697	2557
399	1701	2552
400	1705	2547
401	1709	2542
402	1713	2538
403	1717	2533
404	1721	2528
405	1725	2524
406	1729	2519
407	1732	2514
408	1736	2508
409	1739	2503
410	1743	2498
411	1747	2493
412	1750	2488
413	1754	2483
414	1758	2478
415	1762	2473
416	1765	2468
417	1769	2463
418	1774	2460
419	1778	2455
420	1781	2450
421	1785	2445
422	1789	2440
423	1792	2435
424	1796	2430
425	1800	2425
426	1803	2420
427	1807	2415
428	1810	2409
429	1814	2404
430	1817	2399
431	1821	2394
432	1825	2389
433	1828	2384
434	1832	2379
435	1835	2374
436	1839	2370
437	1844	2366
438	1847	2361
439	1851	2356
440	1855	2351
441	1859	2347
442	1863	2342
443	1866	2337
444	1870	2333
445	1874	2328
446	1879	2324
447	1882	2319
448	1887	2316
449	1891	2311
450	1895	2307
451	1899	2303
452	1904	2299
453	1908	2294
454	1912	2290
455	1916	2286
456	1920	2282
457	1924	2277
458	1928	2272
459	1931	2267
460	1935	2262
461	1939	2258
462	1942	2253
463	1946	2248
464	1949	2243
465	1953	2238
466	1958	2234
467	1962	2230
468	1965	2225
469	1969	2220
470	1973	2216
471	1976	2211
472	1980	2206
473	1983	2201
474	1987	2196
475	1990	2191
476	1994	2186
477	1998	2182
