iter	Passed	Remaining
0	59	59355
1	64	32319
2	69	23240
3	75	18838
4	80	15935
5	84	14064
6	91	12980
7	96	12010
8	104	11495
9	109	10875
10	114	10288
11	120	9898
12	124	9469
13	129	9110
14	134	8819
15	138	8539
16	143	8290
17	148	8101
18	154	7957
19	159	7802
20	166	7766
21	172	7669
22	177	7548
23	183	7463
24	188	7343
25	193	7250
26	198	7165
27	203	7065
28	208	6984
29	213	6911
30	219	6848
31	223	6770
32	228	6694
33	234	6653
34	239	6594
35	244	6536
36	250	6508
37	255	6457
38	259	6403
39	266	6391
40	271	6351
41	276	6300
42	282	6276
43	286	6224
44	291	6179
45	297	6162
46	302	6125
47	306	6087
48	312	6074
49	317	6036
50	322	5999
51	327	5977
52	333	5955
53	338	5929
54	344	5913
55	349	5883
56	353	5852
57	358	5829
58	365	5824
59	370	5798
60	375	5786
61	380	5762
62	385	5738
63	390	5713
64	396	5697
65	400	5672
66	405	5646
67	411	5640
68	416	5621
69	423	5622
70	429	5615
71	434	5601
72	440	5592
73	445	5573
74	450	5551
75	455	5534
76	461	5526
77	466	5510
78	471	5492
79	477	5493
80	483	5480
81	488	5472
82	493	5456
83	499	5444
84	504	5433
85	509	5419
86	515	5404
87	520	5392
88	525	5377
89	530	5367
90	537	5366
91	543	5364
92	548	5350
93	556	5366
94	562	5355
95	567	5342
96	574	5345
97	580	5339
98	585	5330
99	592	5332
100	598	5325
101	607	5346
102	613	5341
103	622	5366
104	630	5373
105	639	5391
106	645	5384
107	652	5387
108	658	5386
109	664	5379
110	671	5381
111	677	5370
112	684	5372
113	689	5359
114	694	5348
115	701	5344
116	706	5330
117	711	5314
118	718	5317
119	723	5306
120	728	5295
121	734	5286
122	740	5276
123	745	5266
124	751	5257
125	756	5247
126	763	5248
127	769	5240
128	774	5226
129	780	5224
130	787	5221
131	793	5220
132	800	5221
133	810	5241
134	819	5252
135	830	5273
136	839	5285
137	851	5320
138	868	5379
139	881	5417
140	888	5410
141	897	5421
142	903	5414
143	911	5416
144	918	5413
145	925	5412
146	931	5407
147	937	5396
148	943	5391
149	949	5379
150	954	5367
151	960	5359
152	965	5345
153	970	5332
154	976	5322
155	980	5307
156	986	5294
157	992	5290
158	997	5277
159	1003	5267
160	1010	5265
161	1014	5249
162	1020	5238
163	1025	5225
164	1029	5211
165	1034	5197
166	1040	5190
167	1045	5177
168	1051	5170
169	1058	5166
170	1063	5157
171	1070	5152
172	1074	5138
173	1080	5127
174	1086	5121
175	1090	5107
176	1095	5093
177	1101	5084
178	1105	5072
179	1110	5060
180	1116	5052
181	1120	5038
182	1125	5026
183	1132	5022
184	1137	5010
185	1141	4996
186	1146	4983
187	1151	4974
188	1156	4962
189	1161	4950
190	1167	4944
191	1172	4932
192	1176	4919
193	1182	4912
194	1186	4899
195	1191	4886
196	1196	4876
197	1200	4864
198	1205	4852
199	1209	4839
200	1215	4833
201	1220	4823
202	1225	4811
203	1232	4810
204	1238	4801
205	1243	4792
206	1249	4786
207	1255	4779
208	1260	4772
209	1266	4765
210	1272	4756
211	1279	4754
212	1284	4747
213	1290	4740
214	1298	4741
215	1303	4731
216	1310	4727
217	1315	4719
218	1320	4709
219	1326	4704
220	1332	4695
221	1337	4687
222	1344	4682
223	1349	4675
224	1354	4664
225	1360	4659
226	1365	4649
227	1369	4638
228	1375	4631
229	1379	4619
230	1384	4608
231	1389	4600
232	1394	4589
233	1398	4577
234	1402	4566
235	1407	4557
236	1412	4546
237	1416	4536
238	1421	4527
239	1427	4519
240	1431	4508
241	1436	4499
242	1441	4491
243	1446	4480
244	1450	4470
245	1455	4462
246	1460	4451
247	1464	4441
248	1469	4432
249	1474	4423
250	1478	4412
251	1483	4402
252	1489	4397
253	1494	4388
254	1498	4379
255	1505	4374
256	1510	4366
257	1516	4360
258	1523	4359
259	1530	4355
260	1539	4358
261	1546	4356
262	1555	4358
263	1561	4352
264	1569	4353
265	1576	4349
266	1584	4350
